Year,State,Population
2024,United States,341814420
2023,United States,334914895
2022,United States,333271411
2021,United States,332048977
2020,United States,331526933
2019,United States,328329953
2018,United States,326838199
2017,United States,325122128
2016,United States,323071755
2015,United States,320738994
2014,United States,318386329
2024,Illinois,12710200
2023,Illinois,12642300
2022,Illinois,12621800
2021,Illinois,12700600
2020,Illinois,12799100
2019,Illinois,12667000
2018,Illinois,12724700
2017,Illinois,12779900
2016,Illinois,12821700
2015,Illinois,12859600
2014,Illinois,12885100
2024,California,39431300
2023,California,39198700
2022,California,39142400
2021,California,39142600
2020,California,39522000
2019,California,39437600
2018,California,39437500
2017,California,39337800
2016,California,39149200
2015,California,38904300
2014,California,38586700
2024,Texas,31290800
2023,Texas,30727900
2022,Texas,30113500
2021,Texas,29570400
2020,Texas,29239600
2019,Texas,28986800
2018,Texas,28624600
2017,Texas,28291000
2016,Texas,27914100
2015,Texas,27468500
2014,Texas,26963100
2024,Pennsylvania,13078800
2023,Pennsylvania,13017700
2022,Pennsylvania,12985000
2021,Pennsylvania,13015600
2020,Pennsylvania,12996100
2019,Pennsylvania,12798900
2018,Pennsylvania,12809100
2017,Pennsylvania,12794700
2016,Pennsylvania,12788500
2015,Pennsylvania,12789800
2014,Pennsylvania,12792400
2024,Florida,23372200
2023,Florida,22904900
2022,Florida,22379300
2021,Florida,21831900
2020,Florida,21592000
2019,Florida,21492100
2018,Florida,21254900
2017,Florida,20977100
2016,Florida,20627200
2015,Florida,20219100
2014,Florida,19853900
2024,Hawaii,1446150
2023,Hawaii,1441390
2022,Hawaii,1440360
2021,Hawaii,1447030
2020,Hawaii,1451250
2019,Hawaii,1415620
2018,Hawaii,1423100
2017,Hawaii,1425760
2016,Hawaii,1428880
2015,Hawaii,1423000
2014,Hawaii,1415340
